x,Curve1
0.0651,-0.0065
0.1,0.001
0.2,0.0215
0.3,0.0387
0.4,0.0516
0.5,0.0602
0.6,0.0651
0.7,0.0666
0.8,0.0655
0.9,0.0622
1,0.0576
1.1,0.0521
1.2,0.0462
1.3,0.0401
1.4,0.034
1.5,0.0282
1.6,0.023
1.7,0.0186
1.8,0.0153
1.9,0.0135
2,0.0138
2.1,0.0169
2.2,0.0229
2.3,0.0316
2.4,0.0423
2.5,0.0535
2.6,0.0625
2.7,0.0634
2.8,0.0435
2.9,-0.007
3,-0.0542
3.1,-0.0356
3.2,0.0614
3.3,0.2073
3.4,0.39
3.5,0.6241
3.6,1.0474
3.7,1.1031
3.8,1.4197
3.9,1.5807
4,1.4105
4.1,1.2231
4.2,1.0477
4.3,0.9218
4.4,1.4425
4.5,1.7073
4.6,1.815
4.7,1.8727
4.8,1.907
4.9,1.9264
5,1.9348
5.1,1.9341
5.2,1.9251
5.3,1.9081
5.4,1.8823
5.5,1.8452
5.6,1.7896
5.7,1.674
5.8,0.8171
5.9,0.5774
6,0.3733
6.1,0.1525
6.2,0.1411
6.3,0.1406
6.4,0.1226
6.5,0.0979
6.6,0.0787
6.7,0.0685
6.8,0.0673
6.9,0.0742
7,0.0869
7.1,0.1035
7.2,0.1231
7.3,0.1449
7.4,0.1685
7.5,0.1936
7.6,0.2199
7.7,0.2472
7.8,0.2767
7.9,0.3127
8,0.3633
8.1,0.4395
8.2,0.5475
8.3,0.6777
8.4,0.8163
8.5,0.9482
8.6,1.0493
8.7,1.095
8.8,1.0914
8.9,1.0641
9,1.0298
9.1,0.9963
9.2,0.9682
9.3,0.9505
9.4,0.9501
9.5,0.9718
9.6,1.0158
9.7,1.081
9.8,1.1627
9.9,1.2553
10,1.3484
10.1,1.4241
10.2,1.4674
10.3,1.4788
10.4,1.4676
10.5,1.4447
10.6,1.4161
10.7,1.2039
10.8,1.0589
10.9,0.9211
11,0.7868
11.1,0.655
11.2,0.5279
11.3,0.4741
11.4,0.5211
11.5,0.5734
11.6,0.6268
11.7,0.6831
11.8,0.7451
11.9,0.8248
12,1.0485
12.1,1.1194
12.2,1.1598
12.3,1.1784
12.4,1.1728
12.5,1.1411
12.6,1.0773
12.7,0.9585
12.8,0.7567
12.9,0.6015
13,0.5163
13.1,0.4188
13.2,0.2905
13.3,0.2534
13.4,0.2952
13.5,0.3594
13.6,0.4207
13.7,0.4669
13.8,0.4891
13.9,0.4862
14,0.4661
14.1,0.4367
14.2,0.406
14.3,0.3856
14.4,0.3889
14.5,0.4117
14.6,0.4369
14.7,0.4518
14.8,0.454
14.9,0.4486
15,0.4393
15.1,0.4283
15.2,0.4173
15.3,0.4076
15.4,0.4003
15.5,0.3964
15.6,0.3949
15.7,0.3947
15.8,0.3941
15.9,0.3915
16,0.3846
16.1,0.371
16.2,0.3492
16.3,0.3223
16.4,0.2947
16.5,0.2705
16.6,0.253
16.7,0.2438
16.8,0.2431
16.9,0.2479
17,0.2559
17.1,0.2652
17.2,0.2743
17.3,0.2816
17.4,0.2851
17.5,0.2824
17.6,0.2715
17.7,0.2531
17.8,0.2291
17.9,0.2024
18,0.1774
18.1,0.159
18.2,0.1506
18.3,0.1502
18.4,0.1549
18.5,0.1616
18.6,0.168
18.7,0.1725
18.8,0.1742
18.9,0.174
19,0.1735
19.1,0.1739
19.2,0.1765
19.3,0.1826
19.4,0.1944
19.5,0.2149
19.6,0.2455
19.7,0.2829
19.8,0.3201
19.9,0.349
20,0.3631
20.1,0.3595
20.2,0.3416
20.3,0.3149
20.4,0.2835
20.5,0.2503
20.6,0.218
20.7,0.1892
20.8,0.1672
20.9,0.1538
21,0.1492
21.1,0.153
21.2,0.1651
21.3,0.185
21.4,0.212
21.5,0.2442
21.6,0.2755
21.7,0.2999
21.8,0.3144
21.9,0.3191
22,0.3155
22.1,0.3063
22.2,0.2938
22.3,0.2792
22.4,0.2635
22.5,0.2475
22.6,0.2316
22.7,0.2164
22.8,0.2023
22.9,0.1896
23,0.1788
23.1,0.1697
23.2,0.1623
23.3,0.1563
23.4,0.1518
23.5,0.1486
23.6,0.1467
23.7,0.1461
