x,NoFelt,1Felt,2Felt
0.0758,27.242,25.9769,24.9755
0.1,27.3083,25.9841,24.9764
0.2,27.5909,26.014,24.9803
0.3,27.8499,26.0439,24.9842
0.4,28.0585,26.0738,24.9882
0.5,28.2187,26.1036,24.9922
0.6,28.3419,26.133,24.9963
0.7,28.4382,26.1596,25.0006
0.8,28.5094,26.1276,25.0051
0.9,28.5506,26.1051,25.0098
1,28.5424,26.0868,25.0148
1.1,28.4174,26.0694,25.0201
1.2,28.09,26.0521,25.0259
1.3,27.775,26.0343,25.0321
1.4,27.5552,26.0154,25.0389
1.5,27.3963,25.9947,25.0465
1.6,27.2806,25.971,25.0551
1.7,27.1993,25.9417,25.065
1.8,27.1477,25.9002,25.0768
1.9,27.1232,25.8418,25.0907
2,27.1236,25.8195,25.1073
2.1,27.1474,25.8526,25.1266
2.2,27.1929,25.8965,25.1488
2.3,27.2488,25.9391,25.1724
2.4,27.2968,25.9739,25.1934
2.5,27.3189,25.9923,25.2074
2.6,27.2933,25.9826,25.219
2.7,27.188,25.9443,25.2363
2.8,26.9439,25.8925,25.2705
2.9,26.4244,25.8589,25.3539
3,25.5364,25.9635,25.6877
3.1,26.3191,26.671,27.4932
3.2,32.5608,38.8523,35.116
3.3,54.577,52.2805,54.5892
3.4,56.0652,56.9132,57.6686
3.5,58.7484,58.7294,58.7816
3.6,59.4523,59.3016,59.6122
3.7,60.0623,60.0189,60.4202
3.8,60.7204,61.055,61.3227
3.9,61.6159,62.2038,62.306
4,62.9316,63.4262,63.3278
4.1,64.0844,64.7136,64.3396
4.2,64.7968,66.0833,65.3509
4.3,66.3275,67.5933,66.5492
4.4,69.2599,69.5064,68.7042
4.5,73.3227,72.8029,72.3017
4.6,74.3524,73.7668,73.7331
4.7,74.7879,74.527,74.4575
4.8,75.0788,74.9933,74.8689
4.9,75.3024,75.1593,75.0942
5,75.4883,75.2145,75.2143
5.1,75.6557,75.1999,75.2622
5.2,75.8299,75.1113,75.2345
5.3,76.0417,74.9078,75.083
5.4,76.1145,74.4946,74.5709
5.5,75.6317,72.7784,73.2948
5.6,75.0901,71.3534,71.676
5.7,74.6514,70.9857,69.8985
5.8,74.2805,70.8945,68.7124
5.9,74.0289,70.8631,68.2922
6,74.2662,71.0416,68.1159
6.1,74.493,71.4521,68.3943
6.2,74.0863,71.6647,68.3772
6.3,73.4735,71.1582,67.8917
6.4,72.9002,70.5064,67.1242
6.5,71.977,69.4371,65.8916
6.6,70.8041,68.9544,65.0435
6.7,70.7332,68.7102,64.8904
6.8,70.8092,68.6355,64.8207
6.9,70.8286,68.3062,64.5664
7,70.4685,67.9836,63.4609
7.1,69.6571,66.2022,60.7097
7.2,69.2728,65.5804,60.6627
7.3,69.003,65.7033,60.805
7.4,68.7785,65.8002,60.9764
7.5,68.5979,65.6597,61.1088
7.6,68.421,65.0318,60.7325
7.7,67.6625,64.1312,60.0653
7.8,66.1277,62.7111,59.2008
7.9,65.5819,62.3827,58.7186
8,65.3048,62.201,58.3022
8.1,64.9561,61.8818,57.6683
8.2,64.4951,61.5211,57.073
8.3,63.9308,60.8606,55.7058
8.4,63.0411,59.4076,54.0226
8.5,61.5131,58.3553,51.8507
8.6,60.5883,58.0425,50.8955
8.7,59.8555,57.7413,50.7198
8.8,59.2713,57.153,50.6929
8.9,58.7936,56.3885,50.669
9,58.2769,55.3893,50.4843
9.1,57.4954,52.4286,49.7032
9.2,57.3614,51.4326,49.2273
9.3,57.6075,51.038,48.9166
9.4,57.9595,50.8918,48.7712
9.5,58.3529,50.8647,48.703
9.6,58.7451,50.7246,48.2945
9.7,58.8836,50.453,47.6802
9.8,58.5591,49.6824,47.1582
9.9,58.2498,48.7057,45.841
10,57.9272,48.3004,45.5274
10.1,57.5552,47.8977,45.6284
10.2,57.0528,47.3488,45.3942
10.3,56.4049,46.483,44.958
10.4,55.6616,45.4735,44.5722
10.5,53.9181,45.2429,44.4215
10.6,51.637,45.3002,44.7796
10.7,50.8167,45.4878,45.4471
10.8,50.622,45.6757,45.9182
10.9,50.5057,45.8157,46.0818
11,50.1103,45.8973,46.0782
11.1,48.9792,45.8997,45.9948
11.2,48.0519,45.7824,45.8772
11.3,47.6881,45.6076,45.763
11.4,48.0158,45.6361,45.6957
11.5,48.4089,46.1079,45.6918
